epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1756,2.00181,4.26384,2.10613,0.02656,0.24224,0.04251,0.01685,2.24035,3.86561,2.37951,0.000110153,0.000110153,0.000110153
2,110.35,1.82994,4.16281,1.94684,0.67762,0.08207,0.09187,0.03872,2.24339,3.60795,2.35212,0.000206557,0.000206557,0.000206557
3,158.454,1.75534,3.90347,1.8926,0.36979,0.1799,0.11779,0.04589,2.18565,4.1924,2.32658,0.000288309,0.000288309,0.000288309
4,207.297,1.76139,3.65475,1.89575,0.34348,0.22836,0.15843,0.06482,2.16852,4.21402,2.36992,0.000267066,0.000267066,0.000267066
5,226.949,1.74171,3.47486,1.90251,0.4239,0.25971,0.23296,0.09501,2.14454,3.98417,2.39292,0.000245088,0.000245088,0.000245088
6,266.396,1.65592,3.29544,1.92198,0.32954,0.27164,0.23597,0.09535,2.15247,5.49579,2.53555,0.00022311,0.00022311,0.00022311
7,286.086,1.55379,3.09741,1.86254,0.35675,0.34979,0.25378,0.10971,2.12694,4.64281,2.52922,0.000201132,0.000201132,0.000201132
8,305.899,1.5464,2.96191,1.81712,0.3355,0.34123,0.25989,0.11386,2.06925,4.75652,2.50218,0.000179154,0.000179154,0.000179154
9,325.72,1.45404,2.82314,1.7749,0.44686,0.31849,0.29121,0.14123,2.00912,4.78154,2.47295,0.000157176,0.000157176,0.000157176
10,345.244,1.45472,2.74072,1.75733,0.46587,0.36138,0.3318,0.1459,1.99689,4.73371,2.4631,0.000135198,0.000135198,0.000135198
11,364.648,1.40481,2.69104,1.74487,0.43698,0.386,0.34274,0.15874,1.95239,4.34939,2.4184,0.00011322,0.00011322,0.00011322
12,385.143,1.37817,2.55465,1.69658,0.45691,0.37134,0.34679,0.15978,1.94972,4.37938,2.42828,9.1242e-05,9.1242e-05,9.1242e-05
13,406.107,1.325,2.51958,1.65738,0.45043,0.4034,0.35826,0.16967,1.90955,4.48275,2.40243,6.9264e-05,6.9264e-05,6.9264e-05
14,426.519,1.30774,2.41179,1.65207,0.52635,0.40524,0.37685,0.17478,1.9064,4.44861,2.38561,4.7286e-05,4.7286e-05,4.7286e-05
15,450.449,1.30327,2.4123,1.63613,0.53534,0.40073,0.39306,0.18155,1.90344,4.49119,2.4009,2.5308e-05,2.5308e-05,2.5308e-05
